"line","negative","positive","sentiment"
1341,24,4,-12
1342,17,5,-2
1343,19,6,-1
1344,18,4,-6
1345,16,8,8
1346,18,6,0
1347,21,7,0
1348,25,6,-7
1349,14,6,4
1350,17,15,28
1351,19,10,11
1352,14,7,7
1353,25,7,-4
1354,28,5,-13
1355,18,6,0
1356,11,7,10
1357,28,4,-16
1358,17,5,-2
1359,11,6,7
1360,25,10,5
1361,21,7,0
1362,20,7,1
1363,25,5,-10
1364,25,12,11
1365,21,7,0
1366,28,8,-4
1367,27,6,-9
1368,18,8,6
1369,16,4,-4
1370,19,7,2
1371,19,11,14
1372,22,5,-7
1373,21,8,3
1374,28,4,-16
1375,15,5,0
1376,28,5,-13
1377,16,12,20
1378,19,7,2
1379,21,2,-15
1380,13,2,-7
1381,31,7,-10
1382,27,10,3
1383,21,11,12
1384,19,7,2
1385,32,13,7
1386,19,10,11
1387,18,4,-6
1388,26,9,1
1389,21,1,-18
1390,14,8,10
1391,28,4,-16
1392,18,4,-6
1393,28,12,8
1394,28,6,-10
1395,16,5,-1
1396,21,8,3
1397,21,5,-6
1398,12,6,6
1399,14,6,4
1400,17,4,-5
1401,20,10,10
1402,19,9,8
1403,16,3,-7
1404,16,2,-10
1405,22,2,-16
1406,15,1,-12
1407,17,2,-11
1408,9,5,6
1409,10,5,5
1410,18,7,3
1411,9,3,0
1412,25,9,2
1413,18,10,12
1414,15,2,-9
1415,9,6,9
1416,14,3,-5
1417,27,6,-9
1418,17,7,4
1419,11,2,-5
1420,15,4,-3
1421,24,5,-9
1422,27,4,-15
1423,15,5,0
1424,21,4,-9
1425,23,4,-11
1426,20,9,7
1427,19,3,-10
1428,23,8,1
1429,21,10,9
1430,19,5,-4
1431,12,7,9
1432,15,6,3
1433,9,6,9
1434,33,11,0
1435,17,3,-8
1436,14,5,1
1437,17,7,4
1438,18,3,-9
1439,14,4,-2
1440,13,4,-1
1441,20,6,-2
1442,18,8,6
1443,17,3,-8
1444,12,1,-9
1445,26,1,-23
1446,16,6,2
1447,10,6,8
1448,13,4,-1
1449,10,1,-7
1450,15,10,15
1451,27,2,-21
1452,26,4,-14
1453,24,3,-15
1454,19,7,2
1455,15,8,9
1456,20,5,-5
1457,22,6,-4
1458,19,3,-10
1459,18,7,3
1460,16,5,-1
1461,16,10,14
1462,15,5,0
1463,16,9,11
1464,20,14,22
1465,16,5,-1
1466,19,5,-4
1467,14,9,13
1468,25,5,-10
1469,19,9,8
1470,16,3,-7
1471,31,7,-10
1472,12,6,6
1473,21,13,18
1474,12,8,12
1475,22,7,-1
1476,24,6,-6
1477,17,5,-2
1478,13,3,-4
1479,22,6,-4
1480,21,11,12
1481,20,5,-5
1482,23,3,-14
1483,17,6,1
1484,16,4,-4
1485,22,3,-13
1486,19,3,-10
1487,13,4,-1
1488,21,4,-9
1489,14,6,4
1490,10,7,11
1491,18,5,-3
1492,10,4,2
1493,15,5,0
1494,17,3,-8
1495,11,4,1
1496,21,5,-6
1497,28,4,-16
1498,22,8,2
1499,19,3,-10
1500,14,1,-11
1501,19,7,2
1502,15,4,-3
1503,12,9,15
1504,24,4,-12
1505,16,7,5
1506,16,6,2
1507,21,4,-9
1508,16,8,8
1509,24,8,0
1510,11,5,4
1511,10,3,-1
1512,17,9,10
1513,9,2,-3
1514,13,8,11
1515,17,2,-11
1516,17,6,1
1517,12,9,15
1518,22,2,-16
1519,24,1,-21
1520,25,7,-4
1521,28,8,-4
1522,17,5,-2
1523,20,7,1
1524,22,7,-1
1525,21,3,-12
1526,18,6,0
1527,22,11,11
1528,16,5,-1
1529,16,4,-4
1530,23,7,-2
1531,19,7,2
1532,6,4,6
1533,8,5,7
1534,16,8,8
1535,20,9,7
1536,8,3,1
1537,16,7,5
1538,16,7,5
1539,15,4,-3
1540,17,7,4
1541,20,9,7
1542,9,6,9
1543,11,6,7
1544,13,12,23
1545,8,5,7
1546,22,6,-4
1547,20,14,22
1548,14,5,1
1549,23,10,7
1550,20,7,1
1551,17,3,-8
1552,20,6,-2
1553,22,7,-1
1554,17,5,-2
1555,16,5,-1
1556,12,4,0
1557,24,6,-6
1558,27,5,-12
1559,20,10,10
1560,9,6,9
1561,19,6,-1
1562,17,7,4
1563,14,7,7
